URL,Text
https://iqac.puchd.ac.in/contact-us/,"Contact US – Internal Quality Assurance Cell
Skip to content
Toggle Navigation
+91-8360717584
9AM-5PM
Contact Us
PU Alumni
PU Campus
Events
Toggle Navigation
HOME
ABOUT US
From Vice Chancellor’s Desk
IQAC Composition
Vision
Vision 2025
Vision 2020
PU Administration
PU Organisation Structure
Chancellor
Vice Chancellor
Dean of University Instruction
Research & Development Cell
Senate and Syndicate
Administration
Registrar
Finance and Accounts
Department Level Mini IQAC
PU Alumni
IQAC Team 2023
IDP
Best Practices for IDP Implementation at PU
Institutional Development Plan PU
IPR
Patents
Academics
Dean University Instruction
Departments
Programmes and Value Added Courses
Programme wise Student Sanctioned Strength
Programmes Outcomes
Syllabi
Panjab University Faculty
Student Corner
Scholarships
Grievance Portal
UG Examination
PG Examination
Examination Result
Research and Innovation
Director Research & Development Cell
PU@IRINS (Publications)
Research Publications in Journals
Patents@IPR
Research Centres
Research Scholars
MoUs
Accreditation & Ranking
NAAC PEER TEAM VISIT AUG 02-04, 2023
NAAC Accreditation
Self Study Report 2014
Self Study Report 2023
SSR Important Links
IIQA
Executive Summary
Evaluative Reports of Departments
Criteria 1
Criteria 2
Criteria 3
Criteria 4
Criteria 5
Criteria 6
Criteria 7
AQAR
CIQA Reports
ARIIA
AISHE
NIRF
QS World University Ranking
Center for World University Rankings
Times Higher Education Ranking
Statutory Regulatory Authority
IQAC Meetings Minutes
Feedback Analysis and Action Taken Report
Student Satisfaction Survey for NAAC
Reports
Handbook of Information
Policies and Manuals
Calendars PU
Institute Distinctiveness
Departmental Distinctiveness
Annual Reports
Best practices
Departmental Best Practices
Strength, Weakness, Opportunity and Challenges (SWOC)
Feedback Analysis and Action Taken Report
Accomplishments
Sustainable Development Certification
Environment and Green Audit Certificate
Energy Audit Report
Green Audit Report
Environment Audit Report
Environment and Green Audit Certificate – Shambhavi
Academic and Administrative Audit
Environment Promotion Activities
Awards
Academic Laurels
Sports Laurels
MoUs
IQAC Contributions
NEWS
Events
Life @PU
Facilities @PU
A. C. Joshi Library
Sophisticated Analytical Instrumentation Facility, CIL and UCIM
Bhai Ghanaiya Ji Institute of Health
Central Animal House
Jyotirgamaya: 91.2 MHz – Panjab University Community Radio Station
Hostels @PU
Contact US
Contact US
IQAC
2025-05-27T08:58:58+00:00
Professor Sanjeev Sharma
Director, IQAC
Aruna Ranjit Chandra Hall
Panjab University 160 014
India
Professor Rani Mehta
Associate Director, IQAC
Aruna Ranjit Chandra Hall
Panjab University 160 014
India
NAAC
Grade A++
Accredited University
Become Part of Panjab University to Further Your Career.
Leading the way in Excellence with a Outstanding Score of 3.68
Panjab UNIVERSITY
IQAC,
First Floor, Human Resource Development Centre Building,
Sector-25,
Panjab University, 160 014,
India.
+91-8360717584
iqac@pu.ac.in
Monday – Friday: 9:00 AM – 05:00 PM
RECENT POSTS
Decks Cleared for Development of Panjab University’s Sector-25 Campus
Innovation from Lab to Life!
PU Strengthening Global Academic Ties!
Prof. Renu Vig Unveils 10-Point Plan to Improve Quality in State Universities at National Workshop
(no title)
QUICK LINKS
Toggle Navigation
+91-8360717584
9AM-5PM
Contact Us
PU Alumni
PU Campus
Events
UPCOMING EVENTS
© Copyright 2025| All rights reserved with IQAC, Panjab University, Chandigarh. Designed & Developed by Amardeep Singh, IQAC. | Maintained by  Ms. Baljeet Rani, IQAC.
Page load link
Go to Top"
https://puchd.ac.in/,"Official Website of Panjab University Chandigarh ਪੰਜਾਬ ਯੂਨੀਵਰਸਿਟੀ ਚੰਡੀਗੜ੍ਹ पंजाब विश्वविद्यालय चंडीगढ़ पंजाब यूनिवर्सिटी चंडीगढ़ Chandigarh India
PANJAB UNIVERSITY
Established under the Panjab University Act VII of 1947
- enacted by the Government of India
About PU
Profile
PU: Oral History
Vision 2025
Calenders / Budget / Documents / Anthem
ARIIA 2021 Report
NIRF 2021 Report
Our Administration
Chancellor
Vice Chancellor
Dean Of University Instruction
Senate and Syndicate
Administration
Registrar
Finance and Accounts
Academics
Departments/Centres
Academic Programs Offerred
NEP Guidelines
NEP Syllabi
Syllabi
UGC-Malaviya Mission Teacher Training Centre
College Development Council
Constitutent Colleges
Centre for IAS & Other Competitive Exams.
University Library
Distance and Online Education (CDOE)
Ph.D./M.Phil. Guidelines and Notifications
Research
Director, Research & Development Cell
Research Journals
CIL/RSIC/SAIF
DST-Centre for Policy Research
E-YUVA
Colloquium
Conferences
Students
Campus Life
Admissions
Online Fee Payment
Hostels
SC/ST Cell
EOC-PwDs
Transgender Cell - PADCTS
Scholarships
International Students
Central Placement Cell
Student Grievances Redressal Committee
Examination
Datesheets
Results
UG Examination
PG Examination
Fee through Bank
Collaborations
MoU
IQAC
ADMISSIONS
NIRF Ranking 2023
25
th
Rank among the Indian universities
NAAC Grading
CGPA of 3.68 on a four-point scale at
A++
Grade
QS Ranking 2024
Ranked #1001-1200 in QS World University Rankings.
THE Ranking 2024
Ranked #601-800 in World University Rankings 2024: Times Higher Education (THE).
Our Mission
As Envisioned in Panjab University Act, 1947.
""The University shall be incorporated for the purposes, among others, of making provision for imparting education in Arts, Letters, Science and the learned professions and of furthering advancement of learning, the prosecution of original research, with power to appoint University Professors, Readers and Lecturers, to hold and manage educational endowments, to erect, equip and maintain University colleges, libraries, laboratories and museums, to make regulations relating to the residence and conduct of students and to do all such acts as tend to promote study and research."".
more...
""A university stands for humanism, for tolerance, for reason, for the adventure of ideas and for the search of truth. It stands for the onward march of the human race towards ever higher objectives. If the universities discharge their duties adequately, then it is well with the nation and the people"".
Pandit Jawahar Lal Nehru
Quick Facts
Established in 1882 as University of Punjab at Lahore (now in Pakistan).
Accredited with a CGPA of 3.68 on a four-point scale at A++ Grade.
1st Rank in
ARIIA Ranking 2021
amongst University & Deemed to be University (Government & Government Aided) (Technical).
Ranked 4th amongst Indian institutes / universities by International Ranking Agency, the Times Higher Education (WUR) in 2019-2020.
Won the prestigious MAKA Trophy for overall top performance in University in Inter-University Tournaments for continuous three years in succession 2018-19, 2019-2020 and 2020-2021.
Spread over an area of 550 acres in Sector 14 (North Campus) and Sector 25 (South Campus) - Academic, Administrative, Sports/Recreational, Residential.
74 well-equipped Teaching & Research Departments alongwith 15 Centres / Chairs.
202 Affiliated Colleges spread over Punjab and one Rural Regional Centre at Kauni, and 3 Regional Centres at Muktsar, Ludhiana and Hoshiarpur.
6 Constituent Colleges located at Sikhwala (Sri Muktsar Sahib), Balachaur (SBS Nagar), Nihalsingh Wala (Moga), Dharamkot (Moga), Mokham Khan Wala (Ferozepur) and Guru Harsahai (Ferozepur).
Information
Admissions
News
Events
Conferences
